
映像名称                       PID 会话名              会话#       内存使用 
msedge.exe                   11320 Console                    1     28,016 K
RadeonSoftware.exe            8392 Console                    1     61,744 K
cncmd.exe                     8396 Console                    1      8,200 K
AMDRSServ.exe                17208 Console                    1     95,616 K
TranslucentTB.exe            17536 Console                    1     68,520 K
XboxPcTray.exe               17696 Console                    1     71,992 K
TextInputHost.exe            17752 Console                    1    157,032 K
RuntimeBroker.exe            17868 Console                    1     14,416 K
XboxPcAppFT.exe              18392 Console                    1     54,696 K
svchost.exe                  14032 Services                   0     19,084 K
EdgeGameAssist.exe           19296 Console                    1     73,336 K
RuntimeBroker.exe             2492 Console                    1     27,368 K
msedge.exe                   14416 Console                    1     61,820 K
msedge.exe                    3948 Console                    1     63,984 K
msedge.exe                    3484 Console                    1     58,468 K
msedgewebview2.exe           19536 Console                    1    100,952 K
GameInputRedistService.ex    19588 Services                   0     10,568 K
msedgewebview2.exe           19652 Console                    1      9,136 K
msedgewebview2.exe           20016 Console                    1     50,808 K
msedgewebview2.exe           20040 Console                    1     36,256 K
msedgewebview2.exe           20100 Console                    1     17,776 K
msedgewebview2.exe           20304 Console                    1     52,116 K
msedgewebview2.exe           20616 Console                    1     10,448 K
msedgewebview2.exe           13296 Console                    1      9,720 K
msedgewebview2.exe           20652 Console                    1      5,528 K
msedgewebview2.exe           20644 Console                    1      5,092 K
msedgewebview2.exe           20628 Console                    1         64 K
msedgewebview2.exe           20844 Console                    1        556 K
msedge.exe                   21076 Console                    1     29,452 K
RuntimeBroker.exe            18868 Console                    1     32,048 K
ApplicationFrameHost.exe      5000 Console                    1     53,756 K
SystemSettings.exe            5096 Console                    1      4,536 K
svchost.exe                  21388 Services                   0     15,464 K
svchost.exe                  21500 Services                   0      9,968 K
svchost.exe                  18880 Console                    1     14,908 K
svchost.exe                  13132 Services                   0     16,824 K
svchost.exe                  10952 Services                   0     28,268 K
svchost.exe                  16676 Console                    1     24,032 K
svchost.exe                  21212 Services                   0     33,224 K
svchost.exe                   6680 Services                   0     15,116 K
wsctrlsvc.exe                20460 Services                   0     10,700 K
AMDRSSrcExt.exe               2620 Console                    1     49,784 K
svchost.exe                   5024 Services                   0      8,952 K
MidiSrv.exe                  18548 Services                   0     29,416 K
Code.exe                      1020 Console                    1    156,176 K
Code.exe                     18612 Console                    1     30,816 K
Code.exe                     15600 Console                    1    181,804 K
Code.exe                     21184 Console                    1     47,364 K
Code.exe                      3068 Console                    1    264,812 K
Code.exe                     13168 Console                    1     92,896 K
Code.exe                      1008 Console                    1    131,660 K
Code.exe                      1252 Console                    1     90,436 K
Code.exe                     12196 Console                    1    124,448 K
Code.exe                     13916 Console                    1     85,964 K
conhost.exe                  13112 Console                    1      8,140 K
powershell.exe                7444 Console                    1     59,944 K
python.exe                   17552 Console                    1     19,140 K
conhost.exe                  14148 Console                    1      7,212 K
python.exe                    8108 Console                    1     15,424 K
conhost.exe                   2140 Console                    1      7,228 K
python.exe                    7332 Console                    1     81,180 K
conhost.exe                  12464 Console                    1      7,200 K
python.exe                   16628 Console                    1     21,316 K
conhost.exe                  18912 Console                    1      7,196 K
conhost.exe                   2664 Console                    1      8,536 K
powershell.exe               18372 Console                    1     61,000 K
CodeSetup-stable-07258626     2936 Console                    1      8,280 K
CodeSetup-stable-07258626     9900 Console                    1     25,032 K
dllhost.exe                   1828 Console                    1     13,176 K
msedge.exe                   19556 Console                    1    228,332 K
msedge.exe                    3012 Console                    1    148,512 K
msedge.exe                    4456 Console                    1     27,412 K
msedge.exe                    4992 Console                    1      4,232 K
msedge.exe                    6360 Console                    1     23,128 K
msedge.exe                   17056 Console                    1     14,872 K
wps.exe                      21028 Console                    1     41,368 K
promecefpluginhost.exe       17672 Console                    1     40,508 K
